Czas trwania interwencji;Model samochodu;Liczba rannych;Liczba zabitych;Najwyzszy stopien;Stan warunkow atmosferycznych;Okres swiateczny
880;Kia Ceed;4;1;Starszy przodownik;Snieg;0;
3842;Volkswagen T5;4;0;Podinspektor;Deszcz;1;
1562;BMW 3 Touring;0;1;Inspektor;Deszcz;1;
1497;Volkswagen Caddy;1;0;Przodownik;Snieg;0;
402;Volkswagen Sharan;0;1;Starszy przodownik;Deszcz;0;
2174;Volkswagen T5;1;0;Przodownik;Pogodnie;1;
1522;BMW 5 Touring;4;1;Aspirant;Deszcz;1;
2674;BMW 5 Touring;2;0;Komisarz;Snieg;0;
2892;Volkswagen Sharan;1;1;Starszy posterunkowy;Snieg;1;
642;BMW 3 Touring;4;1;Podinspektor;Pogodnie;0;
1461;Volkswagen T5;2;0;Nadkomisarz;Pogodnie;0;
1813;BMW 5 Touring;4;0;Podkomisarz;Pogodnie;0;
3063;Volkswagen Sharan;0;1;Komisarz;Pogodnie;0;
2930;Volkswagen T5;2;0;Aspirant;Deszcz;1;
3196;Volkswagen Caddy;3;0;Posterunkowy;Deszcz;1;
3524;Volkswagen T5;1;0;Podinspektor;Pogodnie;1;
3684;Volkswagen Golf III;1;0;Starszy przodownik;Deszcz;1;
3331;Volkswagen Golf III;4;0;Posterunkowy;Deszcz;1;
3929;BMW 3 Touring;1;1;Podinspektor;Deszcz;0;
377;BMW 3 Touring;4;1;Nadkomisarz;Snieg;0;
3565;Volkswagen Caddy;3;1;Komisarz;Snieg;0;
1337;BMW 3 Touring;1;1;Komisarz;Pogodnie;0;
2491;Volkswagen Golf III;3;0;Inspektor;Snieg;0;
3685;BMW 5 Touring;1;1;Starszy przodownik;Deszcz;1;
2046;BMW 3 Touring;1;1;Inspektor;Deszcz;0;
1718;Volkswagen Golf III;1;1;Podinspektor;Snieg;0;
1574;Volkswagen T5;2;0;Starszy posterunkowy;Pogodnie;1;
1611;BMW 5 Touring;3;0;Starszy posterunkowy;Pogodnie;1;
2793;Volkswagen Golf III;1;0;Inspektor;Pogodnie;1;
536;Volkswagen Caddy;3;1;Podinspektor;Pogodnie;0;
3337;Volkswagen Sharan;0;1;Aspirant;Pogodnie;1;
1509;Volkswagen Caddy;0;0;Aspirant;Pogodnie;1;
3346;BMW 5 Touring;1;1;Podkomisarz;Snieg;0;
1046;BMW 3 Touring;1;1;Nadkomisarz;Pogodnie;0;
1216;Volkswagen Caddy;2;1;Posterunkowy;Deszcz;0;
2617;Volkswagen Golf III;4;0;Podkomisarz;Pogodnie;0;
1816;Volkswagen Caddy;1;0;Podkomisarz;Deszcz;1;
3454;Kia Ceed;2;1;Aspirant;Deszcz;1;
3026;BMW 5 Touring;0;0;Przodownik;Snieg;0;
1408;BMW 3 Touring;1;0;Podinspektor;Snieg;1;
1162;Kia Ceed;4;0;Komisarz;Snieg;0;
1045;Volkswagen Sharan;3;0;Nadkomisarz;Snieg;0;
3196;Kia Ceed;3;1;Starszy przodownik;Pogodnie;1;
2060;Volkswagen Caddy;3;1;Przodownik;Snieg;0;
1154;Volkswagen Golf III;0;0;Nadkomisarz;Snieg;1;
2805;BMW 5 Touring;4;1;Nadkomisarz;Snieg;0;
2515;Volkswagen Caddy;3;1;Aspirant;Pogodnie;0;
3149;Volkswagen Sharan;3;1;Starszy posterunkowy;Snieg;1;
1571;Volkswagen Caddy;3;1;Komisarz;Pogodnie;1;
3764;Volkswagen Sharan;0;1;Aspirant;Snieg;0;
3168;Volkswagen Caddy;4;0;Aspirant;Deszcz;0;
1815;Kia Ceed;2;0;Przodownik;Pogodnie;0;
1639;BMW 5 Touring;2;0;Starszy posterunkowy;Pogodnie;1;
3726;Volkswagen Sharan;0;0;Podinspektor;Deszcz;1;
461;Kia Ceed;3;0;Komisarz;Deszcz;1;
1594;Volkswagen T5;4;0;Aspirant;Deszcz;1;
2348;Volkswagen Golf III;2;1;Komisarz;Snieg;1;
3561;Volkswagen Golf III;2;1;Podinspektor;Snieg;0;
3141;BMW 5 Touring;4;1;Inspektor;Snieg;0;
1382;Kia Ceed;2;0;Inspektor;Snieg;1;
1349;Volkswagen T5;3;1;Aspirant;Deszcz;0;
3801;Volkswagen Sharan;0;1;Starszy przodownik;Deszcz;0;
1089;Volkswagen T5;3;0;Podinspektor;Deszcz;1;
2642;Volkswagen T5;2;0;Komisarz;Snieg;1;
3845;Volkswagen Sharan;1;1;Aspirant;Snieg;0;
375;Volkswagen Sharan;1;1;Inspektor;Pogodnie;0;
743;BMW 3 Touring;2;1;Przodownik;Deszcz;0;
1345;Kia Ceed;3;0;Komisarz;Pogodnie;1;
3854;Volkswagen Golf III;3;0;Posterunkowy;Snieg;1;
3099;Kia Ceed;3;0;Przodownik;Deszcz;1;
1701;Kia Ceed;1;0;Starszy posterunkowy;Pogodnie;0;
3528;Volkswagen T5;3;1;Podinspektor;Pogodnie;1;
624;Volkswagen Sharan;1;0;Inspektor;Deszcz;1;
2427;BMW 5 Touring;0;1;Podinspektor;Snieg;0;
658;BMW 3 Touring;0;1;Posterunkowy;Snieg;0;
1895;Volkswagen Golf III;2;0;Starszy posterunkowy;Pogodnie;1;
1637;Volkswagen T5;0;1;Aspirant;Deszcz;1;
742;Kia Ceed;2;1;Starszy posterunkowy;Pogodnie;0;
2700;Volkswagen Sharan;3;1;Starszy przodownik;Deszcz;1;
1146;Volkswagen Caddy;1;1;Nadkomisarz;Pogodnie;0;
3793;Volkswagen Caddy;4;1;Posterunkowy;Deszcz;0;
3577;Volkswagen T5;3;1;Starszy przodownik;Snieg;0;
3077;Kia Ceed;3;0;Nadkomisarz;Pogodnie;1;
1939;BMW 5 Touring;2;1;Inspektor;Pogodnie;1;
896;Volkswagen T5;1;0;Podinspektor;Pogodnie;1;
1701;BMW 3 Touring;2;0;Podkomisarz;Deszcz;1;
1808;BMW 5 Touring;3;1;Podkomisarz;Snieg;0;
831;BMW 3 Touring;3;1;Posterunkowy;Pogodnie;0;
2192;BMW 3 Touring;2;0;Aspirant;Snieg;1;
3155;Volkswagen Sharan;0;0;Inspektor;Deszcz;0;
2977;Volkswagen Sharan;4;1;Podinspektor;Pogodnie;1;
2955;Volkswagen T5;2;0;Nadkomisarz;Deszcz;1;
3638;Volkswagen Caddy;1;1;Podinspektor;Snieg;1;
1214;Volkswagen T5;0;1;Posterunkowy;Pogodnie;0;
1466;Kia Ceed;4;0;Starszy przodownik;Deszcz;1;
1162;Kia Ceed;4;1;Podinspektor;Pogodnie;1;
2293;Volkswagen Caddy;2;1;Podkomisarz;Snieg;1;
2163;Volkswagen Sharan;4;0;Komisarz;Snieg;0;
1722;Volkswagen T5;4;1;Przodownik;Pogodnie;1;
2956;Volkswagen T5;2;0;Starszy przodownik;Snieg;0;
545;Volkswagen Sharan;4;1;Starszy przodownik;Deszcz;1;
2831;Volkswagen T5;1;1;Aspirant;Snieg;1;
2023;Volkswagen Caddy;3;1;Podkomisarz;Deszcz;0;
2261;Volkswagen Caddy;2;1;Posterunkowy;Snieg;1;
746;Volkswagen Golf III;2;0;Nadkomisarz;Pogodnie;0;
3341;Volkswagen Sharan;4;0;Starszy przodownik;Deszcz;0;
2819;BMW 5 Touring;2;0;Inspektor;Deszcz;0;
3632;BMW 5 Touring;4;1;Aspirant;Pogodnie;1;
2667;BMW 3 Touring;2;0;Przodownik;Snieg;0;
2578;Volkswagen Golf III;1;0;Nadkomisarz;Deszcz;1;
724;Volkswagen Sharan;4;0;Aspirant;Deszcz;1;
3752;BMW 5 Touring;2;0;Starszy posterunkowy;Deszcz;1;
1803;BMW 3 Touring;2;1;Inspektor;Snieg;0;
2255;Volkswagen Sharan;0;0;Nadkomisarz;Deszcz;1;
3172;Volkswagen Caddy;4;1;Aspirant;Deszcz;1;
1738;Volkswagen T5;4;0;Podkomisarz;Deszcz;0;
2180;Volkswagen T5;0;0;Inspektor;Snieg;1;
554;Kia Ceed;2;0;Posterunkowy;Deszcz;0;
2705;BMW 3 Touring;2;1;Komisarz;Pogodnie;1;
1488;Volkswagen Golf III;0;1;Aspirant;Snieg;0;
1575;Volkswagen Caddy;4;1;Inspektor;Pogodnie;0;
1361;Volkswagen T5;1;0;Starszy przodownik;Deszcz;0;
1286;Kia Ceed;3;1;Podkomisarz;Pogodnie;0;
1301;Kia Ceed;3;1;Starszy posterunkowy;Deszcz;0;
1993;BMW 5 Touring;2;0;Posterunkowy;Snieg;0;
1412;Volkswagen T5;3;0;Starszy posterunkowy;Pogodnie;1;
864;Volkswagen T5;2;1;Starszy przodownik;Pogodnie;1;
3928;BMW 3 Touring;1;1;Starszy przodownik;Pogodnie;0;
878;Kia Ceed;1;0;Podinspektor;Deszcz;0;
1174;Volkswagen Sharan;0;0;Komisarz;Pogodnie;0;
436;BMW 3 Touring;1;1;Podkomisarz;Pogodnie;0;
3160;BMW 5 Touring;4;1;Nadkomisarz;Snieg;0;
1324;Kia Ceed;0;1;Nadkomisarz;Pogodnie;1;
3367;BMW 3 Touring;3;0;Inspektor;Deszcz;0;
629;Volkswagen T5;1;0;Starszy posterunkowy;Deszcz;0;
1989;BMW 5 Touring;1;0;Starszy posterunkowy;Pogodnie;1;
868;BMW 3 Touring;4;0;Starszy posterunkowy;Pogodnie;1;
2793;Volkswagen Caddy;0;0;Aspirant;Pogodnie;0;
2555;Volkswagen Sharan;0;0;Nadkomisarz;Pogodnie;0;
1925;Volkswagen Golf III;2;1;Posterunkowy;Pogodnie;1;
2658;Volkswagen Sharan;3;0;Inspektor;Pogodnie;0;
805;Volkswagen Golf III;1;1;Inspektor;Pogodnie;1;
742;BMW 5 Touring;3;1;Starszy przodownik;Deszcz;0;
1506;BMW 5 Touring;1;1;Podkomisarz;Snieg;0;
1899;Volkswagen Sharan;0;0;Nadkomisarz;Deszcz;1;
2097;Volkswagen Golf III;1;1;Posterunkowy;Snieg;1;
1241;Volkswagen Caddy;2;0;Nadkomisarz;Snieg;1;
1238;Volkswagen Caddy;0;1;Starszy przodownik;Deszcz;1;
1390;Kia Ceed;3;1;Podkomisarz;Deszcz;1;
393;Volkswagen Golf III;3;0;Podinspektor;Deszcz;1;
3531;BMW 3 Touring;4;1;Inspektor;Snieg;1;
1177;Kia Ceed;4;0;Inspektor;Deszcz;1;
1388;Volkswagen Golf III;1;0;Przodownik;Deszcz;0;
1886;Volkswagen T5;3;1;Nadkomisarz;Deszcz;1;
3504;Volkswagen T5;2;1;Inspektor;Pogodnie;1;
2080;Volkswagen Golf III;0;0;Starszy przodownik;Snieg;1;
1113;Volkswagen T5;2;0;Nadkomisarz;Pogodnie;1;
3383;BMW 3 Touring;0;1;Aspirant;Deszcz;0;
3678;Kia Ceed;4;1;Inspektor;Snieg;0;
2954;Volkswagen T5;1;1;Podinspektor;Deszcz;0;
3901;Kia Ceed;0;0;Podinspektor;Pogodnie;0;
1403;Volkswagen Sharan;4;1;Starszy posterunkowy;Pogodnie;1;
1955;BMW 5 Touring;1;0;Przodownik;Snieg;1;
2801;Volkswagen Golf III;0;0;Inspektor;Snieg;0;
2189;BMW 3 Touring;2;1;Posterunkowy;Pogodnie;0;
3327;Kia Ceed;1;1;Aspirant;Deszcz;1;
810;Volkswagen Golf III;4;1;Przodownik;Pogodnie;0;
3377;BMW 3 Touring;4;0;Komisarz;Pogodnie;0;
1674;Volkswagen T5;4;0;Inspektor;Pogodnie;0;
3691;BMW 5 Touring;0;0;Podkomisarz;Deszcz;1;
3910;Kia Ceed;2;0;Starszy posterunkowy;Snieg;0;
2209;Volkswagen Caddy;4;0;Komisarz;Snieg;0;
420;Volkswagen Sharan;1;1;Nadkomisarz;Snieg;0;
2651;BMW 3 Touring;0;0;Nadkomisarz;Pogodnie;1;
3807;Volkswagen Golf III;1;1;Podkomisarz;Snieg;0;
3077;Volkswagen Caddy;2;0;Nadkomisarz;Snieg;1;
3807;BMW 3 Touring;1;1;Starszy posterunkowy;Deszcz;0;
620;Volkswagen T5;2;0;Podinspektor;Snieg;1;
1841;Volkswagen Sharan;0;1;Inspektor;Deszcz;0;
3109;Volkswagen Golf III;1;1;Posterunkowy;Deszcz;0;
3739;BMW 5 Touring;1;0;Inspektor;Deszcz;1;
2125;Volkswagen Caddy;4;0;Inspektor;Deszcz;0;
795;Volkswagen Golf III;1;1;Komisarz;Snieg;0;
805;Volkswagen Sharan;0;0;Podinspektor;Deszcz;0;
1947;Volkswagen T5;4;1;Przodownik;Deszcz;0;
567;Volkswagen Caddy;0;1;Posterunkowy;Deszcz;1;
1980;BMW 5 Touring;1;0;Starszy przodownik;Pogodnie;1;
1528;Volkswagen Golf III;0;1;Przodownik;Snieg;1;
2564;Volkswagen Caddy;0;1;Nadkomisarz;Pogodnie;0;
451;BMW 3 Touring;4;0;Posterunkowy;Deszcz;0;
3424;Volkswagen Sharan;1;0;Podkomisarz;Pogodnie;1;
1562;Volkswagen Golf III;3;1;Komisarz;Pogodnie;0;
1373;BMW 3 Touring;4;0;Nadkomisarz;Pogodnie;0;
1886;Volkswagen Golf III;2;1;Inspektor;Pogodnie;0;
2098;Volkswagen T5;0;1;Podinspektor;Snieg;1;
913;Volkswagen Golf III;2;0;Inspektor;Snieg;1;
3070;BMW 5 Touring;0;0;Nadkomisarz;Snieg;0;
3523;Volkswagen T5;0;1;Przodownik;Pogodnie;1;
1795;Volkswagen Sharan;3;0;Podinspektor;Pogodnie;1;
1576;BMW 5 Touring;2;0;Nadkomisarz;Snieg;1;
377;Volkswagen Golf III;2;1;Podkomisarz;Deszcz;0;
557;Volkswagen Sharan;3;1;Aspirant;Snieg;0;
3952;Volkswagen Caddy;0;0;Podinspektor;Deszcz;1;
2833;BMW 3 Touring;3;1;Inspektor;Snieg;0;
3853;Volkswagen Sharan;0;0;Posterunkowy;Deszcz;1;
3104;Volkswagen Golf III;3;1;Nadkomisarz;Deszcz;0;
1386;BMW 5 Touring;3;0;Komisarz;Pogodnie;0;
1389;BMW 3 Touring;3;1;Posterunkowy;Deszcz;0;
1587;BMW 5 Touring;1;1;Starszy posterunkowy;Snieg;1;
1243;Volkswagen Caddy;1;1;Podinspektor;Snieg;0;
774;Volkswagen T5;0;0;Aspirant;Pogodnie;0;
2514;Volkswagen Sharan;4;0;Przodownik;Deszcz;1;
1496;Volkswagen Sharan;0;1;Starszy przodownik;Pogodnie;0;
1715;Volkswagen Golf III;4;1;Nadkomisarz;Snieg;0;
1116;Kia Ceed;4;1;Nadkomisarz;Snieg;1;
2096;BMW 3 Touring;0;1;Przodownik;Deszcz;0;
1216;Volkswagen Golf III;1;0;Aspirant;Pogodnie;0;
2151;BMW 3 Touring;3;0;Starszy posterunkowy;Pogodnie;0;
2692;Volkswagen T5;2;1;Nadkomisarz;Deszcz;1;
3145;Volkswagen Sharan;1;1;Starszy przodownik;Snieg;1;
1060;Volkswagen Golf III;0;1;Podinspektor;Deszcz;1;
1460;Volkswagen Caddy;3;0;Starszy posterunkowy;Pogodnie;0;
3315;Kia Ceed;4;1;Przodownik;Pogodnie;0;
3828;Volkswagen Sharan;1;0;Starszy przodownik;Deszcz;1;
1675;BMW 5 Touring;2;1;Inspektor;Snieg;0;
412;Volkswagen Sharan;1;1;Przodownik;Snieg;1;
1357;BMW 3 Touring;4;0;Podinspektor;Snieg;0;
2693;Volkswagen Golf III;3;0;Podkomisarz;Snieg;1;
2076;Volkswagen Sharan;1;0;Nadkomisarz;Snieg;1;
847;BMW 5 Touring;2;0;Przodownik;Snieg;1;
1036;BMW 5 Touring;3;0;Starszy posterunkowy;Snieg;1;
3716;Volkswagen Sharan;0;0;Komisarz;Deszcz;1;
3660;Kia Ceed;0;1;Przodownik;Pogodnie;0;
1822;Volkswagen Golf III;3;0;Nadkomisarz;Snieg;1;
662;Volkswagen T5;0;0;Podkomisarz;Deszcz;1;
2591;BMW 5 Touring;1;0;Nadkomisarz;Snieg;0;
1787;BMW 3 Touring;4;1;Posterunkowy;Snieg;1;
2944;Volkswagen Sharan;1;0;Starszy posterunkowy;Snieg;0;
2052;Volkswagen Golf III;1;1;Podinspektor;Deszcz;0;
3861;Volkswagen T5;2;1;Podinspektor;Pogodnie;0;
1905;Volkswagen Golf III;4;0;Komisarz;Pogodnie;1;
426;Kia Ceed;4;1;Aspirant;Snieg;0;
2005;Volkswagen Caddy;2;0;Starszy przodownik;Pogodnie;1;
1673;Volkswagen Sharan;1;0;Podkomisarz;Pogodnie;0;
1486;Volkswagen Golf III;4;0;Podinspektor;Snieg;1;
776;BMW 5 Touring;2;0;Aspirant;Deszcz;1;
2955;Kia Ceed;4;0;Aspirant;Pogodnie;1;
3064;Kia Ceed;1;1;Starszy posterunkowy;Pogodnie;0;
3224;Volkswagen Golf III;1;1;Starszy przodownik;Snieg;0;
3099;BMW 5 Touring;2;0;Podinspektor;Snieg;1;
2277;Kia Ceed;2;1;Aspirant;Deszcz;1;
3296;Volkswagen Golf III;0;0;Komisarz;Deszcz;1;
2598;Kia Ceed;2;1;Podkomisarz;Deszcz;1;
1301;Volkswagen Caddy;3;1;Aspirant;Deszcz;1;
1427;Volkswagen Sharan;2;0;Podinspektor;Snieg;0;
3813;Kia Ceed;3;1;Nadkomisarz;Deszcz;1;
945;Volkswagen Golf III;2;0;Nadkomisarz;Deszcz;0;
432;BMW 3 Touring;1;0;Starszy przodownik;Pogodnie;0;
1952;Kia Ceed;4;1;Nadkomisarz;Deszcz;1;
2442;Volkswagen Caddy;3;1;Starszy przodownik;Deszcz;0;
1235;BMW 5 Touring;2;0;Komisarz;Deszcz;1;
1935;Volkswagen T5;3;1;Podkomisarz;Snieg;0;
2624;Volkswagen T5;3;0;Komisarz;Pogodnie;0;
594;Volkswagen Golf III;0;1;Podkomisarz;Pogodnie;1;
2784;Volkswagen Golf III;2;1;Przodownik;Snieg;1;
2471;Volkswagen T5;3;1;Starszy przodownik;Deszcz;0;
930;Volkswagen Golf III;0;0;Inspektor;Deszcz;1;
2649;BMW 5 Touring;3;0;Nadkomisarz;Deszcz;1;
680;BMW 5 Touring;3;1;Podkomisarz;Snieg;1;
1350;BMW 3 Touring;3;0;Aspirant;Deszcz;1;
3112;BMW 5 Touring;0;1;Nadkomisarz;Deszcz;1;
1306;Volkswagen Caddy;4;1;Starszy posterunkowy;Deszcz;0;
2807;BMW 5 Touring;0;1;Posterunkowy;Deszcz;0;
3254;Volkswagen T5;4;1;Aspirant;Deszcz;0;
2091;BMW 3 Touring;2;0;Aspirant;Deszcz;0;
2406;BMW 5 Touring;2;0;Podinspektor;Snieg;0;
1260;Kia Ceed;2;0;Komisarz;Snieg;0;
1622;Kia Ceed;2;0;Starszy posterunkowy;Pogodnie;0;
1459;BMW 3 Touring;3;1;Podkomisarz;Deszcz;1;
887;Kia Ceed;2;0;Nadkomisarz;Pogodnie;1;
2878;Volkswagen Caddy;4;1;Komisarz;Pogodnie;0;
829;Volkswagen Golf III;1;1;Nadkomisarz;Snieg;0;
3099;Volkswagen Golf III;1;0;Nadkomisarz;Pogodnie;1;
3223;Volkswagen T5;4;0;Posterunkowy;Deszcz;0;
790;Volkswagen Caddy;4;0;Nadkomisarz;Pogodnie;1;
2324;BMW 5 Touring;4;1;Przodownik;Deszcz;0;
3675;Volkswagen T5;0;0;Podkomisarz;Pogodnie;0;
1801;Volkswagen Sharan;1;0;Przodownik;Snieg;0;
477;Volkswagen T5;0;0;Starszy posterunkowy;Pogodnie;0;
727;BMW 5 Touring;3;1;Przodownik;Pogodnie;1;
2743;Volkswagen Golf III;4;1;Aspirant;Deszcz;0;
3003;BMW 3 Touring;4;1;Przodownik;Pogodnie;0;
958;Kia Ceed;1;1;Podinspektor;Deszcz;1;
1231;Volkswagen T5;0;1;Posterunkowy;Pogodnie;0;
2508;Volkswagen Caddy;1;1;Przodownik;Deszcz;0;
2989;Volkswagen Sharan;4;1;Podkomisarz;Snieg;1;
3295;BMW 3 Touring;1;0;Podinspektor;Snieg;1;
3350;BMW 3 Touring;2;1;Aspirant;Deszcz;1;
817;Volkswagen T5;0;0;Starszy przodownik;Pogodnie;1;
825;Volkswagen Sharan;0;0;Posterunkowy;Deszcz;1;
1185;BMW 3 Touring;2;1;Przodownik;Pogodnie;0;
1344;BMW 3 Touring;2;1;Posterunkowy;Deszcz;1;
3235;BMW 3 Touring;3;0;Nadkomisarz;Pogodnie;0;
520;Volkswagen Caddy;3;1;Starszy przodownik;Snieg;0;
3600;Volkswagen Sharan;0;0;Starszy przodownik;Snieg;1;
2987;BMW 5 Touring;0;1;Podinspektor;Deszcz;1;
2370;BMW 3 Touring;4;1;Komisarz;Pogodnie;1;
1782;Volkswagen Golf III;3;1;Aspirant;Pogodnie;0;
1469;BMW 3 Touring;0;0;Aspirant;Snieg;0;
2362;Volkswagen Sharan;3;0;Podkomisarz;Snieg;0;
3201;Volkswagen Golf III;3;0;Komisarz;Deszcz;0;
3770;Volkswagen Caddy;2;1;Nadkomisarz;Snieg;1;
2142;Volkswagen Sharan;4;0;Posterunkowy;Snieg;1;
2860;Volkswagen Golf III;4;0;Posterunkowy;Pogodnie;0;
2339;Volkswagen Caddy;3;0;Inspektor;Deszcz;0;
364;Volkswagen Golf III;0;0;Aspirant;Snieg;0;
2367;Kia Ceed;4;1;Starszy przodownik;Pogodnie;1;
2011;Kia Ceed;0;0;Podinspektor;Pogodnie;0;
536;Volkswagen Sharan;4;1;Starszy przodownik;Pogodnie;1;
1068;Volkswagen Sharan;2;1;Aspirant;Deszcz;0;
2779;Volkswagen T5;1;1;Podinspektor;Snieg;0;
1388;Volkswagen Sharan;4;1;Nadkomisarz;Pogodnie;0;
2477;BMW 5 Touring;0;1;Posterunkowy;Deszcz;0;
3204;Volkswagen Sharan;3;0;Podkomisarz;Deszcz;0;
2411;Volkswagen Golf III;0;1;Przodownik;Pogodnie;0;
1274;Volkswagen Golf III;1;0;Starszy przodownik;Snieg;0;
1643;Volkswagen T5;1;0;Starszy przodownik;Deszcz;0;
3362;Volkswagen Sharan;4;0;Aspirant;Deszcz;1;
3351;Volkswagen Caddy;4;0;Komisarz;Snieg;1;
3703;BMW 5 Touring;3;1;Posterunkowy;Snieg;0;
3183;Volkswagen Sharan;4;1;Przodownik;Deszcz;1;
1453;Volkswagen Golf III;0;1;Komisarz;Snieg;1;
2098;Volkswagen Caddy;0;1;Posterunkowy;Pogodnie;0;
3144;Kia Ceed;2;1;Podinspektor;Snieg;0;
689;Kia Ceed;0;0;Aspirant;Snieg;1;
2298;Kia Ceed;3;1;Inspektor;Deszcz;1;
3624;Volkswagen T5;4;1;Posterunkowy;Pogodnie;1;
3027;Volkswagen Caddy;0;1;Komisarz;Pogodnie;0;
1816;Volkswagen Caddy;2;1;Starszy przodownik;Snieg;1;
